Monthly Budget,Food,Electronics,Online Shopping,Monthly Bill,Groceries,Transport,Housing,Miscellaneous,Saving Goal
58441,5548,7017,2945,6412,11175,5809,12485,2668,4379
5846,699,505,280,934,896,229,994,142,1163
15954,2327,488,482,931,1158,1197,2310,761,6296
84239,10952,6319,6702,9523,7641,6101,15871,1234,19893
51514,6740,1655,3744,2874,5996,3354,8156,1280,17712
93236,6341,8607,7103,5796,9638,6978,16598,3190,28980
11469,2269,1231,1241,987,1062,916,2307,764,688
35105,1795,2358,1751,1905,2628,1579,4257,1457,17371
47101,5999,2944,4332,6232,9198,4125,10118,916,3233
69323,6179,2578,1745,6897,3483,3535,8864,2380,33657
96922,10370,7341,3773,9019,12065,7516,13796,4209,28828
63067,6964,3401,2985,5022,4329,2603,6555,719,30487
54376,5181,3785,6622,5854,5965,3507,11849,3390,5526
50587,7893,1351,3383,4429,5355,3473,8758,2249,13693
41976,6784,3070,4028,3856,3662,3462,9753,2057,5300
72584,12404,7171,4548,7545,9358,4224,16181,5853,5294
83477,6278,4357,5420,6449,8207,5502,12665,3397,27371
47533,5209,4171,3231,5551,6854,5043,8164,2487,6821
6828,1053,372,552,411,803,305,1088,94,2147
6917,795,549,674,1100,582,286,1836,395,695
25618,3940,1731,1862,2834,3761,883,4309,1185,5108
37254,5541,2665,1178,4171,1867,1264,4401,1198,14966
52362,5468,2022,2718,8847,6431,2461,8748,2748,12916
25128,2780,976,1115,2604,2292,1754,4412,837,8354
64383,6997,3359,4015,6878,5660,1918,11197,2377,21977
70545,5347,4161,2698,4840,5469,5482,8651,2682,30312
87180,8215,6886,4557,14216,6426,3715,22155,3900,17106
92958,9291,8285,4125,6834,8171,6833,14521,1495,33398
14865,1062,1096,855,1024,663,453,2188,346,7175
7219,825,296,341,669,794,377,966,213,2733
44809,3376,5201,3400,6983,3737,1955,5961,2074,12118
10287,1457,588,439,1171,810,440,1666,278,3434
39387,2500,2213,1673,2766,4013,1423,8789,771,15079
13512,1489,1336,488,1045,1236,729,2572,215,4398
6342,889,726,544,916,909,353,1312,324,364
68076,5848,9174,6419,9466,7870,6229,10339,3358,9370
24216,1845,1066,1407,1473,1472,966,3883,577,10042
98070,16267,4503,5392,10537,13570,4907,22453,3502,16935
84767,11394,5152,5369,9213,4612,2780,12272,1828,32143
31614,2963,2759,2220,3986,3713,2012,6431,652,6874
41258,5492,2214,1582,4736,6456,1791,5882,1349,11752
98789,13962,14621,6946,17169,11627,5628,17522,3348,7961
47078,3923,4447,4050,6259,5734,4038,11520,911,6193
88524,9230,4391,4223,9319,4018,2259,10151,2374,42556
17219,1766,934,984,1253,1469,828,1850,373,7758
5235,434,391,368,431,554,162,885,208,1798
47929,9033,1709,1696,6954,4083,3290,6741,2109,12310
72444,4251,7382,4524,3967,5852,5529,13531,1752,25651
13567,1741,783,626,1761,1530,505,1714,447,4455
75792,8239,2573,5136,8883,6678,3306,15062,2731,23180
70441,9216,8657,5438,11736,6054,6807,12586,4546,5397
89555,8989,9338,4707,6457,8344,5285,11827,4624,29979
78698,5075,5768,4525,6832,6975,3319,12184,2850,31165
10415,913,668,453,832,556,399,1167,244,5179
41159,7508,4421,4270,6309,3634,2444,7409,2896,2263
48925,4139,4982,2067,3480,5937,3585,5304,905,18521
10951,1581,327,502,836,816,737,2336,448,3365
92388,9041,9132,6208,10238,9791,6322,15843,3144,22664
13007,2080,1278,1245,1418,1729,1215,2373,267,1397
46832,4455,2060,3126,7542,5293,3867,7534,933,10962
63596,5550,5461,2209,6508,8189,4200,15727,2426,13321
35523,3937,3071,2282,5525,4078,3561,5506,943,6616
93861,10584,7437,5050,7972,8978,3415,12922,1937,35563
91740,12023,3234,6827,5563,9897,3368,14916,2394,33515
20524,1931,1839,1323,1105,2409,713,3900,834,6466
24282,1252,768,1587,2135,2150,1614,2946,358,11470
28930,3243,2093,2380,3361,2591,2138,5684,1436,6001
5077,818,627,274,625,374,277,984,284,810
25611,3256,1864,1587,3038,1394,1041,3648,939,8839
21984,2025,1640,1798,2398,3616,854,5973,610,3066
19060,1255,707,1852,3082,2984,781,4444,297,3654
87985,14980,9016,3817,14455,6820,8417,14039,3145,13291
89056,8361,13650,4766,7028,11931,8600,21438,6053,7224
48303,2583,4144,1454,5200,2723,3198,7972,624,20401
64207,4150,6505,4496,8342,10003,3813,13044,3285,10564
80046,10055,3547,3424,9451,7387,5936,16106,3095,21041
34287,5473,2343,3153,5112,4781,2683,5849,2507,2382
98709,11941,4095,6841,11875,6551,7249,11609,2545,35999
44711,4663,3026,2732,7108,4391,4368,7296,2237,8886
16954,1967,693,861,1495,1137,1164,2460,643,6529
78340,6661,4311,7030,6328,8525,5463,19778,1785,18455
77101,13370,7152,5367,9835,8179,2819,18091,1638,10646
76520,11734,5353,3878,6099,8189,6117,12151,1500,21496
92062,14309,10005,5565,12889,7648,3940,22670,5024,10009
23574,1904,2578,1381,2968,2316,857,4858,856,5852
14184,1210,1538,690,1613,2400,728,2983,283,2734
24096,2118,1787,1221,1215,2300,947,2921,489,11093
72728,10654,7770,7158,9732,9936,5213,15133,1498,5630
39016,2808,2350,2719,3561,3656,1966,7170,646,14135
16246,3509,631,1054,1661,2495,1151,3061,530,2148
50558,10294,2025,2892,7071,5905,1902,9717,962,9786
23381,2927,1292,2004,3436,1715,1567,4325,571,5540
41455,4485,2372,2121,3275,2518,1789,4887,993,19011
97263,9715,13298,6951,12418,8572,4284,21903,4637,15480
9018,704,1299,571,1274,785,861,2475,224,821
16302,1418,708,1591,1595,1360,1508,2713,463,3152
72506,10821,9876,4052,11044,7086,4923,13264,4398,7040
46157,4199,3677,2315,7127,5593,3935,13084,1246,4978
59917,8320,5032,2310,6984,5844,2860,9422,674,18468
97738,9606,5764,6990,18476,13521,4143,28708,2961,7565
88122,11202,4136,5257,10662,15924,8596,22107,4601,5632
29519,3873,1563,1049,3635,1851,1481,4797,300,10965
92487,8282,10304,2916,14031,8060,3876,19648,5692,19675
61819,6982,3905,5313,9208,11331,5547,11147,1805,6578
85910,13242,4236,6459,8695,9657,6927,20326,2263,14100
76324,6253,7513,2771,8581,8798,2874,10475,3186,25869
10408,988,1315,995,969,1198,893,1963,274,1810
64379,7002,2407,4221,9028,7921,4439,9413,2398,17545
30053,4692,3768,1244,2455,2894,1612,8733,1503,3148
14446,2056,675,504,1362,1596,811,2740,152,4545
5922,1015,404,454,925,425,417,808,331,1138
56356,5447,4178,2434,4695,5086,2327,11353,2115,18717
15789,1198,790,383,1503,1394,952,2720,311,6533
71656,7397,4879,4286,5522,6752,5194,12324,1993,23305
49028,7945,3689,2735,5538,6237,3589,9659,656,8976
69484,7208,6423,6760,10988,5676,4819,11986,4150,11470
37154,4179,3783,3101,3112,4811,3228,6068,1538,7331
87870,13445,8627,7982,10365,9384,7353,14717,5091,10902
7336,1314,520,249,1027,552,671,1778,256,964
72779,4672,2542,1920,5607,7535,5193,12698,3073,29534
24029,2074,2083,2120,2945,2305,1259,5378,499,5361
64201,5861,6702,4623,8125,7259,2819,12012,989,15806
37265,2080,2910,2427,2768,4895,1582,6858,1915,11825
48872,5615,3514,1516,6047,4398,2529,8807,1031,15411
51197,8386,3023,2040,6609,8005,4675,11239,3104,4112
60180,5700,3794,1706,3962,5569,3161,9709,1048,25527
28710,2786,2445,2261,3040,4864,3141,5651,791,3726
34486,2139,3531,1146,3213,4406,1653,3974,1476,12945
76907,5723,5964,3812,8441,5549,3008,10507,3313,30586
76895,6757,3921,4537,8273,9538,2240,9304,3739,28582
69435,10198,4792,1982,8285,6209,4463,8405,3534,21562
45631,4425,5939,2061,7340,7445,4345,9524,1967,2581
25103,2015,1858,1620,3076,3223,2572,4446,962,5326
69772,6478,4667,2004,6449,8284,3537,12971,2901,22478
19382,1961,1625,677,2653,2506,1527,3381,701,4348
89291,7328,6288,2819,9448,7308,2706,10485,3745,39159
8756,1595,457,558,975,1058,609,1546,300,1654
25609,2081,2345,2114,3529,3785,1242,5441,407,4663
21478,3597,2790,945,2093,2091,1027,4284,1002,3644
44666,5365,6250,3962,3934,3274,4652,6759,1545,8922
80683,6847,6273,5728,9099,6808,5570,14078,2003,24272
76315,10180,7019,4091,5877,6259,1817,10658,2315,28095
82834,7795,7062,2831,6590,7530,4002,13300,4881,28839
19153,2175,1107,894,2035,1499,671,2456,393,7919
81325,5958,5101,4458,9119,4610,2486,11167,1935,36487
17999,1536,513,1127,1831,1080,913,2789,696,7509
60318,11059,4739,6240,8143,5846,4585,12234,3937,3530
5814,762,327,247,474,400,263,1015,106,2216
81077,14831,9820,6181,6718,8024,3819,15785,4238,11657
95474,12962,9810,8329,13111,11011,4656,21919,3188,10484
7443,539,504,479,871,495,308,1392,342,2510
80993,11504,5056,4851,11562,11945,6367,10110,3892,15703
80916,15000,4838,4718,13189,10952,9230,13169,3690,6125
78319,7104,7105,4431,7002,8300,4757,15774,5939,8766
22368,3469,2807,1824,2976,2621,1554,4144,1843,1127
20328,2326,774,1058,1399,1813,675,2519,482,9278
61942,9191,5296,6826,10875,4739,2526,16385,2316,3783
96751,10417,6934,8742,7051,15450,4616,25181,4401,13956
32306,4991,2998,1281,3268,3034,2549,5158,1357,7666
90451,7303,10165,6791,6704,9919,7477,18802,4250,19036
44915,2687,2946,1500,3791,4722,1269,6222,1100,20673
42219,7395,3153,3686,6815,5466,2697,8678,1450,2876
85879,7794,5256,5329,8974,11071,3707,15737,3920,24088
69644,8193,2414,2608,7402,8013,2187,10752,3263,24808
65279,3600,2058,2009,5231,6601,3071,9634,2438,30633
58028,5551,2754,2228,4741,8187,3901,8810,2752,19100
5126,396,209,166,474,435,279,820,147,2110
57329,10566,2797,4939,8855,5525,4928,12153,2537,5026
32632,4587,2036,1392,3628,3920,2836,5699,711,7298
70310,8058,3213,2832,5265,11881,3653,17040,3017,15347
60176,3308,4697,2376,5073,4957,2809,7291,2653,27008
91066,9461,14375,10046,11217,8420,4706,19178,2902,10756
49327,6392,6310,2889,5917,7520,3786,8587,2085,5837
73904,6740,3369,4101,10910,9183,6441,12579,1533,14621
8797,1212,680,728,1493,1158,821,1524,522,655
52882,5964,5586,2557,6664,7452,4233,11938,1498,6986
18718,2215,613,728,921,1628,1168,1795,581,9065
39560,5370,4101,2868,4790,4529,2428,4708,1163,9600
81589,7625,5599,3029,9014,7918,4643,13740,2733,27284
27116,1773,2321,1709,2868,2348,1560,3346,973,10215
41244,6779,5011,2932,4520,3425,1634,6794,1274,8872
6645,1129,709,485,687,787,374,1411,287,772
52523,5412,6158,3167,9357,4190,2771,10494,3462,7508
24256,4072,1179,1921,3118,2790,1455,4007,1079,4632
58173,3770,2254,3584,6027,6224,4469,11462,820,19559
42430,3630,3672,2143,3848,4831,2389,7305,2142,9726
44282,4695,2664,2412,6755,6100,4204,13388,1711,2349
68374,12477,2893,4285,4862,7700,4009,9228,3394,19523
73244,6649,3107,4170,3750,4485,4573,11776,695,34035
16694,1823,1267,1018,1059,1019,797,2442,328,6935
61264,4626,1670,3697,4946,6813,4692,8149,855,25813
80060,8046,3814,4087,6878,8668,3029,9086,3803,32646
62545,6722,4448,2939,5907,6675,5576,14508,3528,12238
44224,5303,2527,2342,2098,4146,1711,6708,1946,17439
18224,1586,1172,2250,1876,2545,1703,3919,1084,2085
45738,3899,5101,2558,3072,5967,1767,5330,2215,15824
30150,2114,2216,1072,2667,2428,2040,6281,1116,10211
68731,13289,6272,2949,6444,11689,7226,13730,2902,4227
54688,5740,1522,2281,4271,5378,3818,6978,2571,22126
78509,5768,3918,3411,5445,5753,3559,12197,2618,35836
13577,1656,1531,1261,1180,1750,827,2370,686,2312
13070,1852,521,502,861,951,531,1841,576,5431
13666,2385,906,710,1986,1842,811,3000,832,1190
62761,8405,1848,3417,6347,5158,2885,12677,1937,20082
41368,3735,4644,3351,5399,3772,3148,5199,1006,11109
11783,888,399,613,1182,1343,930,2535,406,3483
46914,4761,3094,1211,3959,2625,2428,6474,459,21899
75507,7373,3871,2647,5519,5191,3667,10058,3796,33381
84026,5935,5264,3647,7335,8795,3986,11413,3761,33886
72526,8078,6319,5410,7300,9915,4479,15459,3004,12558
75835,8546,2143,2384,7167,5847,3469,8965,2401,34908
50765,6962,4573,3973,6387,8698,1971,11631,1800,4765
24956,2077,965,1078,2230,2424,1312,3164,872,10830
92895,14789,3319,5394,10475,10909,4359,20062,5222,18362
51240,6620,6247,2469,7365,8437,3470,11894,933,3801
42148,3281,1269,3179,5212,3442,3000,7277,682,14802
99270,17041,8437,6074,14226,11691,8533,15640,2329,15295
9757,1755,585,740,1263,652,779,1964,459,1557
24097,4636,1359,1959,2539,3767,905,3807,597,4523
15395,2567,1620,1617,1564,2425,938,3045,405,1210
21241,2771,2374,1666,2551,2793,1302,4144,881,2755
32696,6708,2308,2194,2721,4647,3473,7297,1635,1710
75480,7753,6346,4299,5400,11435,3819,12618,4904,18902
51163,8790,2936,2910,6322,7857,4876,10177,2794,4497
24816,3137,1986,857,2450,1282,1590,3932,714,8864
54840,8234,3622,5526,3935,8366,4999,10705,893,8556
57853,6739,2243,3544,4784,3649,1545,6302,1585,27457
29917,3597,2266,1137,2169,2911,698,3405,505,13225
26566,2497,947,1450,4212,2680,2330,6867,792,4788
80452,9808,3787,2533,5114,4553,5639,14956,1682,32377
67823,4386,3929,5089,6819,4859,5404,7662,1765,27906
25806,1930,1746,834,2353,1544,688,3722,239,12746
80520,6016,8746,4871,6893,9592,5601,10106,3003,25688
6759,895,769,684,1031,562,497,1615,115,587
46949,5884,2734,2004,5129,4898,1828,6849,1607,16013
97374,14346,7046,6303,6170,12036,5336,10096,3784,32254
7482,644,441,366,980,860,412,1020,232,2523
29442,3707,1703,2157,3976,3072,1422,6379,1481,5541
38719,3587,3415,1651,2139,3284,1362,4636,1727,16914
63066,8362,1934,2565,4215,2901,2836,8511,1356,30382
98501,12848,6693,9786,12719,8626,6394,22294,4562,14575
7079,1150,886,533,1116,1126,384,1028,219,634
7717,1501,836,457,682,545,403,1935,292,1061
64676,5828,1814,2528,6996,7865,4852,6951,722,27115
32952,5626,1072,1083,2821,2347,2733,5066,519,11681
91444,11945,5371,5083,9304,5054,5548,14858,3530,30745
47460,7975,3418,2430,5644,3519,1990,10657,868,10954
95397,7814,5905,6700,9049,11152,3495,17854,3850,29575
77847,9607,5086,4608,10535,9162,6985,13091,4092,14677
98607,13445,9712,4283,11354,5973,3358,19482,4890,26105
94106,7925,4187,5900,7285,9363,4628,13037,3488,38289
23449,2054,1153,923,2011,2251,673,2571,282,11526
38536,2081,1865,2332,2086,3130,1478,6283,1181,18097
69077,3967,2693,3887,7316,4093,4825,7603,2208,32482
43258,5050,2226,2050,5887,2996,3852,8617,2585,9992
53302,5613,4884,2779,4330,5707,3893,10228,1956,13909
33865,3068,3071,865,3763,3332,2480,3780,1055,12446
11645,1038,384,391,883,1148,563,1484,336,5414
43000,6174,5515,2152,7312,5538,2833,6888,1686,4897
31737,5300,1819,2579,2611,2444,1246,8448,1355,5931
16485,2748,1721,760,1429,1918,1324,3796,929,1857
43565,4959,1668,2120,6073,5331,1906,6625,703,14176
30522,3527,3471,1584,4316,3008,2574,4985,1320,5733
70155,6612,2977,2597,8807,12897,5412,15652,1395,13802
60168,8275,5440,2232,9988,6566,5036,14090,3609,4928
57487,7287,5595,2717,6766,6097,3932,9970,3196,11923
17342,1697,587,627,2150,1162,736,2067,716,7597
45806,5393,3615,2015,5874,4011,4112,11159,2528,7094
53770,7300,1681,1954,3891,5880,4014,6684,2853,19509
83623,5007,6639,5818,7261,8203,5419,15766,1632,27874
80629,9925,3372,4151,8669,3531,4479,9793,1344,35361
57603,4813,6189,4548,7190,6596,3975,15278,2702,6309
86974,8666,5627,4174,7216,5823,4277,7969,609,42609
31399,3182,1585,875,3630,3668,1528,5520,1607,9802
90382,7033,2207,3255,6408,5658,5383,14559,869,45006
86244,5189,5192,4540,6218,6762,4657,11673,2321,39687
81534,6103,10053,6750,11434,8363,3735,20000,2890,12204
60106,6037,7546,5772,7786,7931,5712,13695,1099,4524
35678,3218,1945,3815,2944,5406,3952,7925,579,5888
81218,11543,5415,3333,11945,5948,5504,12145,2039,23342
68230,6983,7529,6275,8080,8515,5469,15479,1216,8680
79055,11475,7744,6545,10852,6793,6491,14928,4311,9910
61373,6145,6246,3796,8466,5471,2259,11421,1720,15844
36480,7438,2400,3939,4373,4650,3798,6777,731,2370
90230,13794,6243,3612,12475,11316,7600,20226,5499,9460
73836,5888,3287,5562,10753,10354,6365,11569,2546,17509
77258,10070,10523,4282,8323,6297,5817,20996,4889,6057
44986,3802,2042,1693,6550,5877,2772,9624,2342,10281
29160,2569,2495,1977,3118,2128,2565,4803,1824,7677
90595,11455,7833,4588,13854,7461,5733,11944,4797,22926
84111,9100,4093,4530,9012,6887,3773,8168,1441,37103
69929,10714,3904,3946,8165,6431,4205,9845,2539,20176
78506,9293,6969,4138,7888,11515,4722,10642,2879,20457
39911,6507,2402,1513,4173,4182,2099,8316,1346,9371
92127,12295,3764,4696,9625,6359,2901,12117,1864,38502
36821,4141,1665,2015,2754,3564,1361,4089,557,16671
80039,7319,6264,4025,7713,5374,2862,8915,2830,34733
65535,4244,6455,3677,7238,4671,2981,12193,931,23140
89458,9252,9369,6519,11403,11222,7043,23101,1544,10002
17175,2426,1768,938,1907,2504,1172,2926,533,2998
59771,9035,6368,4693,6355,10110,3619,11463,3897,4227
91925,4863,5403,5599,5139,7580,2196,14677,3363,43100
71358,6446,6526,4114,7761,6878,4097,8665,2080,24786
22327,1107,1238,995,2418,2128,1100,3790,932,8615
52057,9233,2241,3581,3797,8005,3524,10947,823,9901
11150,585,988,510,1177,658,321,1820,288,4800
9425,1529,1143,785,703,857,619,2007,207,1572
21032,3764,1597,1405,2455,2246,1918,5606,969,1067
7198,529,826,496,460,953,452,1508,392,1579
65500,7887,3942,3209,9498,8020,2288,9758,796,20098
58394,8273,3422,2945,7951,5982,2691,9252,2375,15498
25079,1823,1695,1634,2297,1233,1774,2639,999,10982
41220,4231,2909,2645,5070,4321,3333,12152,2539,4016
46874,4658,4308,4076,4921,6139,2189,5953,600,14025
18859,2646,915,844,2690,1711,1774,2556,424,5296
55460,8856,2726,3053,5496,8629,3442,12325,1134,9795
36419,2385,2462,1821,3143,2414,2325,6063,506,15296
13705,1290,897,873,1418,1285,435,1647,527,5328
47880,4037,1733,3236,4186,5103,1724,8254,1418,18184
28236,2984,2164,749,1165,2366,1179,4215,866,12544
92955,8129,6794,3680,8799,8281,3696,16250,2440,34881
90514,16677,4525,6697,13119,12140,3421,18136,1828,13968
20358,1943,1012,831,2580,1811,1492,2395,810,7481
99914,16375,11350,6156,7045,16160,3711,15605,4677,18830
81918,11259,7160,5499,10088,9936,6785,16546,1618,13023
19596,3415,1190,1665,2549,2000,1267,4454,1429,1623
38572,3699,1351,1551,2816,4135,2961,6289,923,14843
83757,10026,4530,2620,7734,7204,5874,11920,2860,30985
6279,896,487,434,603,1068,404,1299,108,976
68197,6834,5296,2077,5088,4515,3893,12105,1978,26407
67516,5597,5191,2823,5974,3826,3501,6667,2671,31261
12083,2045,669,1028,1298,1828,478,2844,698,1191
22771,3286,2526,877,3529,3394,1714,3386,533,3522
34975,2892,3203,1043,2690,2832,2394,4823,1538,13556
50648,8847,7004,2192,6406,4050,2564,9153,1641,8788
53285,5846,4934,3449,3711,3735,3425,8283,2256,17642
24063,5121,3154,1038,2423,2452,1101,5287,1401,2082
72642,10496,5438,5803,9324,6345,4179,10754,1883,18414
95093,10705,5200,4003,9904,6888,3915,13762,4331,36381
91143,8266,6078,4070,7368,11020,4772,13962,2888,32714
42599,4899,3462,1131,3924,1922,1532,7102,869,17754
56920,5645,2499,2849,6428,5163,1996,5903,1112,25321
33529,4382,1089,1602,1638,2945,1833,5291,1403,13342
40954,3470,1650,2306,3242,4621,1678,7686,1872,14424
32856,3276,4919,2292,3676,5033,2567,7622,1356,2111
7573,475,684,361,961,798,322,1599,167,2201
83344,15700,8582,5649,8736,15257,5085,16208,2542,5581
40367,5451,1727,1754,2768,4121,2134,4962,748,16697
65774,5319,8035,4460,9622,5574,2890,14571,1530,12781
28752,3983,905,1909,3138,1698,2093,5354,954,8714
60029,8118,4743,2791,7760,7922,3669,13656,816,10550
22685,2651,1180,914,1732,2002,1428,3428,224,9122
56693,3826,4398,2091,4028,5448,1594,8303,1552,25450
60961,8995,4296,1716,8339,5611,4119,12977,922,13983
81908,4619,5632,4206,6130,5364,3903,12436,3714,35901
79532,14133,8829,4254,7723,9625,3246,16577,1606,13535
86994,8287,6627,3004,11160,8939,6765,13505,3425,25280
61133,5045,2161,3644,5570,4585,3259,8273,1911,26681
66268,11733,5792,3647,7195,9811,3419,9936,1699,13031
97201,5877,7301,3528,5026,7557,5394,12454,3469,46590
43243,4114,3346,3985,6510,3836,3794,11366,1756,4533
62384,10330,6643,2915,8770,9190,3527,15397,1977,3632
36653,2828,2692,1848,3167,2583,1011,4514,1260,16745
31657,4171,3587,1524,4659,3839,1932,7559,1822,2560
44952,2755,2710,1982,2380,3672,1442,6298,1397,22311
27180,1247,1870,1382,2622,2152,836,3568,504,12995
83411,10763,11261,8306,7465,9969,5315,17986,3028,9313
6622,473,757,432,896,765,204,864,293,1933
53756,9307,6465,3154,7134,6902,2983,9495,1152,7161
45809,3368,4475,3336,5771,4165,2245,9474,1854,11116
21725,3151,1822,1187,3321,2952,1292,4974,1336,1686
66396,5821,3688,6267,6093,8893,3070,18723,3827,10010
56226,5267,4768,3037,4686,4687,4815,10268,3431,12002
86182,10359,8556,4725,6686,10063,4344,16044,4082,21320
87565,6932,5543,3467,6744,4731,3778,10526,2944,42895
34402,1732,2089,2272,2761,1802,2417,6179,920,14226
9263,573,747,544,764,966,354,1573,142,3536
51828,3904,3249,4302,7596,4190,2605,7937,2925,15116
52924,5988,2801,1582,3183,4876,2803,8339,697,22651
79182,10726,7771,3244,10993,9185,3645,15709,1856,16049
98065,6072,6227,5782,9476,7928,2990,19325,4076,36186
64052,4758,1882,2639,4081,5841,1467,9616,1917,31846
16664,2769,1497,1293,1609,1642,1066,2729,863,3192
40737,5420,1658,2465,4652,3627,1842,5586,1090,14392
94563,11242,7688,3116,4441,8633,5771,9350,3662,40656
34373,2466,1617,1673,1813,2640,1439,5547,1290,15884
41397,2713,3979,1467,4169,5210,2513,4340,1559,15443
91145,9701,5517,4732,14975,14914,6531,14944,3639,16189
43709,7954,2442,1767,3562,7422,2398,7778,1779,8603
66120,13299,6441,5634,9492,7044,2735,16009,1539,3923
24250,2036,1758,1060,2227,1920,1431,3432,867,9515
26172,3228,2706,1479,3753,4530,1307,5566,1788,1811
16555,1484,674,843,1382,1882,476,1851,688,7269
92410,12220,4227,6484,11248,18346,5419,20067,4841,9554
83617,8503,8022,7515,8583,13032,2823,19597,4891,10648
58276,7693,2449,3616,7075,7372,2011,9720,2926,15410
62492,3983,3918,2046,4239,4002,4383,11296,3343,23874
58002,6102,6080,5965,7541,5914,2986,12923,3959,6528
94599,14161,3944,3501,8645,7275,5111,23325,5169,23463
77355,5950,3863,6688,9507,6890,7467,13983,2329,20675
96248,8723,4430,7009,13749,10742,9519,21659,6406,14006
29762,3569,4484,1684,5237,2501,2230,5894,1125,3035
16046,1965,770,838,1333,973,793,2092,437,6841
33769,4545,3339,1124,2408,4375,1052,6096,1503,9323
58302,5414,4876,7042,5802,7611,6541,15369,2350,3292
28150,2662,2165,997,2578,1647,1349,4876,292,11579
73247,4776,2554,2655,5602,6403,3301,9576,2387,35990
9853,1112,603,547,971,1085,563,1341,446,3179
99613,13187,9376,2704,9117,7940,5398,19242,5086,27559
94399,10341,6542,3690,8489,5379,3876,10861,3183,42034
26792,1981,1717,1415,2416,1383,1014,3078,962,12823
64129,8127,4719,3209,2881,4323,2710,10847,2329,24980
79478,13607,3756,4081,9728,5198,5746,16424,1029,19905
72298,10254,4537,4304,3905,7432,3438,13763,1779,22882
36987,3919,2237,2619,3041,4072,916,5809,854,13515
20850,2649,2708,1014,2496,2943,1640,3977,553,2865
17112,1622,886,968,1918,1530,1363,3736,786,4299
29058,1637,3033,1174,2444,2291,1210,3978,984,12303
50420,3586,2815,3241,5341,3863,3150,8966,2079,17376
43890,5942,3667,2976,3691,3987,2329,9319,1659,10315
71017,7635,3124,4500,5236,6914,3953,12575,2326,24750
52304,10033,3950,5110,4725,8472,4926,7891,1796,5397
37921,2600,3698,1731,4789,2614,3005,8767,1966,8747
6524,418,405,174,355,775,441,1061,237,2654
20048,3253,2392,998,1948,2984,642,4241,594,2991
40111,4949,4628,2591,4037,3391,1981,10300,2868,5362
42904,2564,2792,2333,2786,2645,1914,6182,1182,20502
59912,11787,7207,5110,4298,5779,5308,9981,1784,8654
39008,6293,3662,2076,3142,4496,3271,7700,1833,6530
5060,453,367,243,417,299,171,553,94,2460
79666,10271,3374,4989,6813,5047,2492,13000,3354,30322
88559,10231,4732,3143,6084,10200,5782,12851,3224,32307
60337,6830,4037,1898,5230,3081,2756,7955,2372,26175
18350,3434,2398,1421,1963,2086,1470,3096,604,1873
29354,1964,1634,1572,2605,3602,2199,3498,1484,10792
50186,6013,2203,3878,5819,6245,1905,8627,1607,13884
33145,1795,2462,1517,3238,2663,1127,5877,437,14024
39020,2699,1492,3127,6034,3095,3374,7441,882,10873
91123,12599,7052,4859,6905,9447,2745,15845,1678,29989
80186,9249,6997,2495,10089,9716,2646,14076,3664,21248
90469,12170,5083,2876,10376,12161,3825,18200,1784,23989
25581,3232,2220,848,2819,1459,986,3110,784,10119
93929,13717,5929,3042,11522,9766,3506,11763,3415,31264
28051,4168,2234,1262,1538,2474,1889,3839,1246,9396
56474,7078,2931,3883,4075,8538,5303,7419,2977,14266
96748,8985,6051,5924,10811,8662,3760,20431,4160,27960
74626,4583,6280,3808,5551,5843,4488,14000,1297,28773
11960,1086,493,372,1344,717,328,2191,382,5043
40772,4368,2737,2773,2566,3734,1560,7123,1089,14818
26520,2429,1119,1042,2533,1835,1163,3103,939,12353
54481,5883,1833,3541,3036,2590,3785,8959,2015,22835
41408,6443,2036,3076,3127,3609,3158,6581,835,12539
99006,11472,3964,5921,11457,7025,2857,18113,3329,34863
62134,6209,5117,3265,2924,5987,2007,6946,669,29006
25491,2488,2400,915,2269,1728,2153,3944,1213,8376
6341,345,314,188,363,691,209,1292,265,2670
49623,3431,3580,2918,4964,4508,2705,8612,1039,17862
95327,13541,2845,4948,10966,7273,2674,20125,4509,28442
5338,536,490,361,837,427,430,1068,337,847
76431,10239,3697,5692,7563,9556,4200,15521,1486,18473
17254,1762,547,914,1253,1120,792,2094,391,8376
56860,4842,6579,2448,3616,4390,4790,9045,1473,19673
16344,1705,893,795,1586,1722,649,3463,559,4968
6750,559,486,141,497,449,245,1043,156,3171
59756,6604,4026,4353,7179,5353,3401,7892,2185,18759
72957,11225,2288,4326,5896,10819,2738,13743,1000,20919
63053,7230,4682,4246,3538,6798,1715,9429,714,24697
75855,7932,5146,4481,4807,8524,2508,11662,2672,28119
20896,4287,1646,977,2482,2590,1201,3951,898,2861
60761,8476,3678,2638,4875,9748,5847,8488,1083,15924
67552,11156,2325,3815,4704,7717,3715,14437,1938,17741
82454,7191,9586,7143,5342,11271,5064,15788,2909,18156
95600,11974,6119,3684,11269,8636,5952,17436,3493,27033
32935,4181,1509,3185,3195,2981,2846,6558,707,7769
42641,4458,5159,2323,6389,6668,2869,5966,2849,5957
34711,3480,2348,1968,4239,4423,2147,6443,1482,8176
75342,11700,4476,7789,10832,13634,4619,11932,4139,6217
17182,1698,1093,649,1321,1640,662,2559,1099,5311
92833,5969,5740,4946,7992,10605,5964,10351,960,40302
61276,9398,1926,1711,4523,4204,4001,10299,2146,23063
24541,3809,1788,1903,1672,2271,1643,5320,925,5207
